Timestamp;Suhu Udara (°C);Kelembaban Udara (%);Suhu Tanah (°C);Kelembaban Tanah (%);pH Tanah;Nitrogen (mg/kg);Fosfor (mg/kg);Kalium (mg/kg);Status Kesuburan;Rekomendasi;Curah Hujan (mm);Lokasi
2025-08-27 12:31:21;28.4;39.7;27.3;60.2;7.19;118;23;241;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.6;Eucalyptus Farm
2025-08-27 12:31:52;27.2;47.3;27.0;71.9;6.06;53;54;200;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.8;Eucalyptus Farm
2025-08-27 12:32:27;23.8;61.7;27.8;47.3;7.65;43;31;130;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.5;Eucalyptus Farm
2025-08-27 12:32:44;28.9;53.4;28.1;62.5;5.59;42;35;181;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.7;Eucalyptus Farm
2025-08-27 12:32:51;27.7;62.4;28.9;64.3;6.01;39;92;211;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;5.6;Eucalyptus Farm
2025-08-27 12:33:08;21.3;57.9;26.7;59.6;7.17;110;65;126;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.9;Eucalyptus Farm
2025-08-27 12:34:08;23.7;63.6;25.7;42.0;5.50;112;41;170;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.2;Eucalyptus Farm
2025-08-27 12:34:42;23.0;38.5;26.3;64.3;5.50;53;48;151;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.1;Eucalyptus Farm
2025-08-27 12:35:38;22.4;56.1;25.7;44.8;8.56;82;171;202;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;3.1;Eucalyptus Farm
2025-08-27 12:36:49;21.0;54.1;30.2;63.9;7.40;74;63;174;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.1;Eucalyptus Farm
2025-08-27 12:37:26;28.5;51.7;27.1;46.3;6.31;29;101;351;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;1.7;Eucalyptus Farm
2025-08-27 12:40:50;20.8;66.7;26.6;42.0;7.55;136;155;33;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;2.9;Eucalyptus Farm
2025-08-27 12:41:36;29.4;55.6;30.1;61.9;5.16;119;9;207;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;5.1;Eucalyptus Farm
2025-08-27 12:42:01;22.9;66.8;26.5;78.1;6.92;142;65;276;Sangat Subur;Pertahankan kondisi saat ini;9.9;Eucalyptus Farm
2025-08-27 12:42:23;25.1;61.6;29.6;62.2;6.40;73;51;212;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.8;Eucalyptus Farm
2025-08-27 12:42:38;23.2;54.6;28.8;73.2;5.52;107;65;231;Sangat Subur;Pertahankan kondisi saat ini;2.1;Eucalyptus Farm
2025-08-27 12:42:44;25.1;55.0;30.0;78.8;7.00;33;0;43;Data Tidak Lengkap;Periksa sensor pH dan NPK;6.3;Eucalyptus Farm
2025-08-27 12:43:10;30.1;62.0;28.8;61.5;6.83;45;61;86;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;7.9;Eucalyptus Farm
2025-08-27 12:43:39;30.5;51.6;27.3;56.0;7.65;91;58;206;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.2;Eucalyptus Farm
2025-08-27 12:44:03;21.2;55.1;29.3;44.4;7.89;50;19;170;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;8.4;Eucalyptus Farm
2025-08-27 12:44:42;24.9;48.6;25.9;66.9;5.91;73;51;249;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.3;Eucalyptus Farm
2025-08-27 12:45:59;29.8;56.6;29.5;43.3;6.12;109;75;189;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.9;Eucalyptus Farm
2025-08-27 12:46:54;28.5;54.9;29.2;66.5;7.43;42;37;220;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.6;Eucalyptus Farm
2025-08-27 12:47:27;21.7;66.4;26.6;80.0;7.81;46;35;243;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;5.0;Eucalyptus Farm
2025-08-27 12:47:42;29.1;48.4;30.4;79.2;5.12;73;57;147;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.7;Eucalyptus Farm
2025-08-27 12:49:00;25.0;57.0;26.1;69.3;7.73;58;189;298;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;2.7;Eucalyptus Farm
2025-08-27 12:49:24;30.3;47.7;26.7;53.2;4.08;125;193;345;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;9.5;Eucalyptus Farm
2025-08-27 12:50:12;29.6;54.4;29.2;53.9;5.50;94;56;130;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.1;Eucalyptus Farm
2025-08-27 12:50:29;30.0;42.5;27.9;64.1;6.20;92;53;101;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.8;Eucalyptus Farm
2025-08-27 12:50:50;23.5;57.6;30.2;74.8;7.08;86;67;291;Sangat Subur;Pertahankan kondisi saat ini;7.7;Eucalyptus Farm
2025-08-27 12:50:53;23.8;48.2;30.4;65.0;7.18;128;70;212;Sangat Subur;Pertahankan kondisi saat ini;5.3;Eucalyptus Farm
2025-08-27 12:52:12;29.3;67.1;26.4;68.9;6.22;58;51;201;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.4;Eucalyptus Farm
2025-08-27 12:52:48;29.1;58.8;25.6;55.8;6.04;63;60;173;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.5;Eucalyptus Farm
2025-08-27 12:52:48;26.0;46.1;28.6;79.1;5.20;30;80;394;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;1.1;Eucalyptus Farm
2025-08-27 12:54:35;21.7;67.1;30.3;54.3;5.50;82;64;115;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.7;Eucalyptus Farm
2025-08-27 12:57:48;29.7;52.1;25.6;67.6;5.50;59;48;194;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.8;Eucalyptus Farm
2025-08-27 12:57:59;25.3;51.8;28.3;46.0;7.12;31;83;165;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.7;Eucalyptus Farm
2025-08-27 12:58:32;22.7;53.6;28.5;49.8;6.28;99;62;343;Sangat Subur;Pertahankan kondisi saat ini;0.6;Eucalyptus Farm
2025-08-27 13:00:32;28.3;56.3;29.8;66.9;7.66;72;46;224;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.1;Eucalyptus Farm
2025-08-27 13:00:47;25.8;50.0;30.3;65.7;5.38;85;35;115;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.0;Eucalyptus Farm
2025-08-27 13:00:48;27.1;67.1;28.3;68.6;6.25;55;39;163;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.7;Eucalyptus Farm
2025-08-27 13:01:10;22.5;55.0;30.4;46.6;6.67;150;57;309;Sangat Subur;Pertahankan kondisi saat ini;7.0;Eucalyptus Farm
2025-08-27 13:01:11;28.6;46.9;28.1;66.7;6.34;154;0;354;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;0.3;Eucalyptus Farm
2025-08-27 13:01:17;27.2;38.4;29.9;57.9;5.50;53;53;169;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.4;Eucalyptus Farm
2025-08-27 13:01:17;22.7;60.9;28.2;46.0;6.33;122;50;232;Sangat Subur;Pertahankan kondisi saat ini;3.8;Eucalyptus Farm
2025-08-27 13:01:31;23.0;51.5;27.1;69.8;6.31;112;76;105;Sedang;Pantau dan sesuaikan pupuk jika perlu;9.7;Eucalyptus Farm
2025-08-27 13:02:21;22.7;41.6;25.8;50.5;6.63;132;65;342;Sangat Subur;Pertahankan kondisi saat ini;0.5;Eucalyptus Farm
2025-08-27 13:03:45;22.6;65.2;29.7;58.8;5.71;53;55;143;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.1;Eucalyptus Farm
2025-08-27 13:03:47;28.5;63.9;26.3;74.1;7.18;120;56;196;Sedang;Pantau dan sesuaikan pupuk jika perlu;9.9;Eucalyptus Farm
2025-08-27 13:03:57;24.3;66.3;27.9;62.8;5.83;75;72;135;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.3;Eucalyptus Farm
2025-08-27 13:05:43;23.9;54.3;29.1;48.4;7.11;61;56;140;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.7;Eucalyptus Farm
2025-08-27 13:07:11;24.7;51.9;30.5;40.0;6.27;119;54;229;Sangat Subur;Pertahankan kondisi saat ini;1.9;Eucalyptus Farm
2025-08-27 13:07:26;26.1;59.6;26.6;79.9;6.80;115;69;293;Sangat Subur;Pertahankan kondisi saat ini;9.7;Eucalyptus Farm
2025-08-27 13:08:45;22.7;47.2;28.2;56.7;5.51;65;30;158;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.6;Eucalyptus Farm
2025-08-27 13:09:49;23.7;41.1;25.9;43.8;5.29;150;92;345;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;5.8;Eucalyptus Farm
2025-08-27 13:10:39;27.7;57.7;29.0;40.3;6.99;89;29;192;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.2;Eucalyptus Farm
2025-08-27 13:11:51;28.3;46.2;29.6;56.9;5.69;116;50;269;Sangat Subur;Pertahankan kondisi saat ini;6.7;Eucalyptus Farm
2025-08-27 13:14:55;26.1;47.4;27.0;69.3;5.58;47;65;135;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.7;Eucalyptus Farm
2025-08-27 13:15:42;27.2;56.2;25.9;41.5;5.88;60;73;211;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.2;Eucalyptus Farm
2025-08-27 13:18:35;23.8;56.8;26.9;76.4;5.22;59;51;126;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.3;Eucalyptus Farm
2025-08-27 13:18:37;24.9;48.0;27.2;69.6;6.78;92;56;243;Sangat Subur;Pertahankan kondisi saat ini;2.2;Eucalyptus Farm
2025-08-27 13:18:38;25.4;58.9;28.1;55.7;7.91;55;73;143;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.2;Eucalyptus Farm
2025-08-27 13:18:48;22.2;51.4;26.5;42.0;7.46;130;51;295;Sangat Subur;Pertahankan kondisi saat ini;8.4;Eucalyptus Farm
2025-08-27 13:19:34;21.1;55.2;29.8;59.3;6.01;159;121;32;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;0.8;Eucalyptus Farm
2025-08-27 13:19:50;22.5;47.5;29.5;76.6;5.92;111;21;227;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.6;Eucalyptus Farm
2025-08-27 13:20:22;29.1;51.9;29.4;77.9;6.19;89;67;170;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.8;Eucalyptus Farm
2025-08-27 13:20:23;23.1;43.3;29.0;73.7;5.46;114;102;18;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.8;Eucalyptus Farm
2025-08-27 13:21:55;23.4;52.8;27.0;63.8;5.50;45;26;213;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.3;Eucalyptus Farm
2025-08-27 13:22:14;27.6;54.7;30.0;64.1;7.36;48;79;127;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.9;Eucalyptus Farm
2025-08-27 13:22:40;28.9;46.0;26.3;74.1;6.74;137;61;207;Sangat Subur;Pertahankan kondisi saat ini;0.5;Eucalyptus Farm
2025-08-27 13:24:17;28.4;39.0;29.4;49.6;5.50;41;75;122;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.4;Eucalyptus Farm
2025-08-27 13:24:43;21.2;61.7;28.5;62.9;6.46;23;176;116;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.6;Eucalyptus Farm
2025-08-27 13:24:48;26.8;61.2;25.7;63.7;5.87;173;139;85;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;1.9;Eucalyptus Farm
2025-08-27 13:24:52;28.3;46.6;27.1;67.2;6.34;130;76;95;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;5.6;Eucalyptus Farm
2025-08-27 13:25:08;26.0;61.7;27.6;46.7;5.17;72;72;115;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.7;Eucalyptus Farm
2025-08-27 13:25:31;27.0;47.8;28.5;57.3;5.80;101;58;264;Sangat Subur;Pertahankan kondisi saat ini;9.8;Eucalyptus Farm
2025-08-27 13:25:41;22.1;39.7;26.1;77.2;7.00;38;0;0;Data Tidak Lengkap;Periksa sensor pH dan NPK;5.5;Eucalyptus Farm
2025-08-27 13:25:54;22.4;64.1;29.4;70.8;7.02;83;69;224;Sangat Subur;Pertahankan kondisi saat ini;8.4;Eucalyptus Farm
2025-08-27 13:25:54;23.7;54.9;29.9;71.6;6.97;126;4;320;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;5.5;Eucalyptus Farm
2025-08-27 13:27:06;22.6;52.5;29.3;64.8;6.36;89;43;349;Sangat Subur;Pertahankan kondisi saat ini;3.0;Eucalyptus Farm
2025-08-27 13:28:31;20.8;67.1;30.1;77.4;7.64;162;19;182;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;3.7;Eucalyptus Farm
2025-08-27 13:28:58;26.6;65.6;27.3;69.0;6.41;131;55;204;Sangat Subur;Pertahankan kondisi saat ini;8.9;Eucalyptus Farm
2025-08-27 13:29:29;25.6;66.0;28.1;51.7;7.79;107;27;115;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.7;Eucalyptus Farm
2025-08-27 13:29:38;20.6;67.7;28.9;65.7;7.46;96;5;128;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;0.2;Eucalyptus Farm
2025-08-27 13:30:30;24.6;52.1;25.7;47.6;6.36;64;23;215;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.9;Eucalyptus Farm
2025-08-27 13:31:34;25.7;46.6;29.5;63.1;7.10;127;55;304;Sangat Subur;Pertahankan kondisi saat ini;6.3;Eucalyptus Farm
2025-08-27 13:32:45;24.9;47.6;29.1;72.1;6.76;195;5;166;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;7.9;Eucalyptus Farm
2025-08-27 13:34:16;29.5;63.1;25.7;77.9;7.00;0;0;0;Data Tidak Lengkap;Periksa sensor pH dan NPK;1.3;Eucalyptus Farm
2025-08-27 13:34:40;28.9;57.4;27.2;71.2;5.81;29;82;357;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;5.8;Eucalyptus Farm
2025-08-27 13:35:47;22.2;49.5;29.9;54.5;6.31;49;4;293;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;9.5;Eucalyptus Farm
2025-08-27 13:35:53;23.6;47.6;26.3;48.2;7.19;191;16;172;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;7.9;Eucalyptus Farm
2025-08-27 13:37:04;24.0;60.9;26.0;54.0;7.84;138;51;11;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;8.4;Eucalyptus Farm
2025-08-27 13:37:07;24.5;67.5;28.2;60.1;7.10;67;55;102;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.6;Eucalyptus Farm
2025-08-27 13:37:18;25.3;41.1;26.7;79.5;6.50;100;41;297;Sangat Subur;Pertahankan kondisi saat ini;1.4;Eucalyptus Farm
2025-08-27 13:39:18;23.4;39.5;27.9;54.2;5.76;109;16;286;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;2.5;Eucalyptus Farm
2025-08-27 13:40:45;22.9;59.3;26.9;53.7;7.74;107;78;218;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.5;Eucalyptus Farm
2025-08-27 13:40:54;21.7;44.9;27.3;70.3;7.07;120;31;234;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.8;Eucalyptus Farm
2025-08-27 13:41:31;30.3;53.8;29.4;73.6;6.02;94;49;122;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.5;Eucalyptus Farm
2025-08-27 13:42:10;23.0;61.3;30.3;67.9;6.51;146;3;179;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;6.0;Eucalyptus Farm
2025-08-27 13:43:03;26.9;53.8;29.2;43.3;5.99;93;65;245;Sangat Subur;Pertahankan kondisi saat ini;0.6;Eucalyptus Farm
2025-08-27 13:43:22;23.9;43.0;28.4;79.0;6.27;92;35;188;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.6;Eucalyptus Farm
2025-08-27 13:43:53;26.5;65.5;26.9;47.4;7.14;82;59;169;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.5;Eucalyptus Farm
2025-08-27 13:44:26;23.1;67.4;29.5;52.1;7.55;125;62;0;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;8.5;Eucalyptus Farm
2025-08-27 13:46:04;21.9;68.0;28.6;57.2;6.81;111;78;213;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.9;Eucalyptus Farm
2025-08-27 13:46:37;26.3;42.9;28.9;45.3;7.97;90;61;125;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.1;Eucalyptus Farm
2025-08-27 13:46:57;23.6;57.9;28.8;51.4;5.58;99;64;101;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.6;Eucalyptus Farm
2025-08-27 13:47:52;26.7;63.9;28.4;63.2;7.27;83;22;174;Sedang;Pantau dan sesuaikan pupuk jika perlu;9.9;Eucalyptus Farm
2025-08-27 13:47:57;27.2;62.1;28.8;55.9;7.41;86;43;240;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.1;Eucalyptus Farm
2025-08-27 13:48:00;24.8;63.0;29.5;49.0;7.45;109;46;136;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.3;Eucalyptus Farm
2025-08-27 13:48:52;25.1;60.3;28.6;72.1;7.36;44;28;117;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.3;Eucalyptus Farm
2025-08-27 13:48:59;23.1;62.8;27.4;79.2;7.38;97;72;226;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.7;Eucalyptus Farm
2025-08-27 13:50:20;30.1;58.9;26.5;40.8;6.54;87;25;101;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.8;Eucalyptus Farm
2025-08-27 13:50:42;28.8;51.8;28.5;50.7;5.57;61;168;9;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;6.5;Eucalyptus Farm
2025-08-27 13:52:16;24.5;38.6;29.4;46.8;8.74;91;72;222;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;0.4;Eucalyptus Farm
2025-08-27 13:54:03;27.9;64.9;30.1;55.2;6.73;29;101;122;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;1.7;Eucalyptus Farm
2025-08-27 13:54:13;28.7;55.6;26.8;48.1;6.43;56;32;185;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.4;Eucalyptus Farm
2025-08-27 13:54:31;21.4;41.0;26.5;80.0;6.92;64;21;118;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.0;Eucalyptus Farm
2025-08-27 13:54:37;23.4;43.0;30.1;56.9;6.17;53;4;263;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;2.8;Eucalyptus Farm
2025-08-27 13:54:55;24.9;67.5;27.5;68.6;6.09;62;33;189;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.8;Eucalyptus Farm
2025-08-27 13:55:57;29.0;41.8;26.0;63.6;5.80;94;63;247;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.3;Eucalyptus Farm
2025-08-27 13:57:52;26.6;56.5;27.8;55.9;6.24;47;42;181;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.6;Eucalyptus Farm
2025-08-27 13:58:20;24.0;48.1;30.4;74.3;6.95;127;53;265;Sangat Subur;Pertahankan kondisi saat ini;7.0;Eucalyptus Farm
2025-08-27 13:58:38;22.9;47.3;27.5;49.7;7.86;58;36;136;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.0;Eucalyptus Farm
2025-08-27 13:59:16;24.2;38.3;28.9;79.2;7.00;0;0;0;Data Tidak Lengkap;Periksa sensor pH dan NPK;9.7;Eucalyptus Farm
2025-08-27 13:59:32;26.3;53.5;28.9;66.0;6.74;148;178;26;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.2;Eucalyptus Farm
2025-08-27 13:59:35;29.7;56.5;29.5;59.3;5.75;89;46;263;Sangat Subur;Pertahankan kondisi saat ini;1.2;Eucalyptus Farm
2025-08-27 14:00:06;23.6;52.1;29.6;58.4;6.49;83;52;230;Sangat Subur;Pertahankan kondisi saat ini;3.6;Eucalyptus Farm
2025-08-27 14:00:16;21.8;49.5;25.6;74.2;6.89;59;23;203;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.6;Eucalyptus Farm
2025-08-27 14:00:33;22.5;65.6;30.1;79.6;6.70;74;122;86;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;8.7;Eucalyptus Farm
2025-08-27 14:01:39;21.3;44.6;28.9;43.0;6.49;142;69;315;Sangat Subur;Pertahankan kondisi saat ini;8.5;Eucalyptus Farm
2025-08-27 14:02:57;23.7;43.3;26.0;69.5;5.06;27;75;374;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.5;Eucalyptus Farm
2025-08-27 14:03:54;26.7;48.1;29.6;54.5;7.16;117;46;337;Sangat Subur;Pertahankan kondisi saat ini;0.3;Eucalyptus Farm
2025-08-27 14:04:07;23.5;46.9;29.1;49.2;7.15;46;54;178;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.0;Eucalyptus Farm
2025-08-27 14:04:30;27.9;58.3;26.5;54.1;5.39;67;21;187;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.3;Eucalyptus Farm
2025-08-27 14:05:18;20.6;40.3;28.2;74.2;7.81;52;65;245;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.0;Eucalyptus Farm
2025-08-27 14:05:19;25.3;54.3;26.6;78.6;6.94;125;55;340;Sangat Subur;Pertahankan kondisi saat ini;9.1;Eucalyptus Farm
2025-08-27 14:05:59;21.1;44.7;27.3;57.5;7.42;81;62;198;Sedang;Pantau dan sesuaikan pupuk jika perlu;9.8;Eucalyptus Farm
2025-08-27 14:06:02;28.9;48.8;29.8;56.3;6.36;102;60;241;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.3;Eucalyptus Farm
2025-08-27 14:06:16;28.2;42.8;28.6;45.4;6.81;116;61;308;Sangat Subur;Pertahankan kondisi saat ini;7.5;Eucalyptus Farm
2025-08-27 14:06:20;26.4;42.2;25.5;49.8;6.39;113;16;184;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;7.0;Eucalyptus Farm
2025-08-27 14:06:42;26.9;45.9;25.8;49.2;7.55;102;50;249;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.0;Eucalyptus Farm
2025-08-27 14:06:49;30.0;49.0;30.0;52.2;8.42;131;36;256;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;5.4;Eucalyptus Farm
2025-08-27 14:07:55;21.8;58.3;27.1;67.5;5.85;100;68;201;Sangat Subur;Pertahankan kondisi saat ini;0.7;Eucalyptus Farm
2025-08-27 14:08:36;29.1;52.3;30.5;67.2;7.98;97;25;205;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.7;Eucalyptus Farm
2025-08-27 14:08:38;23.8;43.4;29.3;71.5;7.87;54;70;172;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.7;Eucalyptus Farm
2025-08-27 14:10:38;24.4;43.8;29.2;46.2;6.54;120;36;223;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.6;Eucalyptus Farm
2025-08-27 14:10:48;26.0;59.3;26.1;52.2;6.10;99;71;232;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.8;Eucalyptus Farm
2025-08-27 14:11:39;26.7;45.4;29.0;63.9;7.93;96;68;188;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.0;Eucalyptus Farm
2025-08-27 14:11:43;29.8;60.2;26.9;45.3;5.50;107;48;231;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.5;Eucalyptus Farm
2025-08-27 14:12:41;23.1;53.5;29.1;47.0;7.14;107;28;131;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.5;Eucalyptus Farm
2025-08-27 14:13:06;29.4;53.4;29.6;72.6;7.52;69;34;104;Sedang;Pantau dan sesuaikan pupuk jika perlu;9.3;Eucalyptus Farm
2025-08-27 14:13:19;29.2;54.9;28.1;51.4;7.54;59;78;123;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.2;Eucalyptus Farm
2025-08-27 14:13:23;25.2;42.4;30.4;48.4;5.61;101;24;204;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.3;Eucalyptus Farm
2025-08-27 14:16:21;27.3;54.5;27.2;46.8;4.72;152;156;396;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.7;Eucalyptus Farm
2025-08-27 14:16:59;29.8;66.5;27.3;71.1;7.68;76;68;151;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.4;Eucalyptus Farm
2025-08-27 14:17:42;25.6;64.2;28.0;68.1;5.76;126;53;201;Sangat Subur;Pertahankan kondisi saat ini;9.9;Eucalyptus Farm
2025-08-27 14:17:51;29.5;44.3;26.6;51.2;6.92;44;69;114;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.3;Eucalyptus Farm
2025-08-27 14:17:51;26.9;54.5;26.8;55.9;7.64;72;21;111;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.3;Eucalyptus Farm
2025-08-27 14:17:57;28.1;66.1;30.2;47.0;7.21;73;56;200;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.7;Eucalyptus Farm
2025-08-27 14:18:07;21.9;48.2;26.3;46.8;6.39;109;59;332;Sangat Subur;Pertahankan kondisi saat ini;9.5;Eucalyptus Farm
2025-08-27 14:20:23;28.8;49.0;26.0;66.9;4.67;153;85;346;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;0.1;Eucalyptus Farm
2025-08-27 14:20:41;29.6;45.1;30.0;52.4;5.36;80;127;380;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;9.8;Eucalyptus Farm
2025-08-27 14:21:08;21.8;65.0;29.0;67.3;6.56;122;44;241;Sangat Subur;Pertahankan kondisi saat ini;8.2;Eucalyptus Farm
2025-08-27 14:21:52;26.5;58.1;27.4;59.5;6.94;44;26;56;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;9.9;Eucalyptus Farm
